"GEOID","NAME","S0101_C01_002","S0101_C01_003","S0101_C01_004","S0101_C01_021"
"00601","ZCTA5 00601",560,772,1095,601
"00602","ZCTA5 00602",1136,1291,2149,1254
"00603","ZCTA5 00603",1521,1932,2757,1764
"00606","ZCTA5 00606",188,232,271,193
"00610","ZCTA5 00610",716,1228,1172,877
"00611","ZCTA5 00611",96,81,48,0
"00612","ZCTA5 00612",2274,2834,3460,2477
"00616","ZCTA5 00616",204,426,539,137
"00617","ZCTA5 00617",778,930,1357,851
"00622","ZCTA5 00622",296,178,401,197
"00623","ZCTA5 00623",955,1585,2282,1440
"00624","ZCTA5 00624",1059,1320,1198,812
"00627","ZCTA5 00627",1081,1255,1848,1121
"00631","ZCTA5 00631",38,44,76,39
"00636","ZCTA5 00636",65,60,69,88
"00637","ZCTA5 00637",784,1105,1325,785
"00638","ZCTA5 00638",585,838,1005,566
"00641","ZCTA5 00641",771,878,1522,911
"00646","ZCTA5 00646",1237,1738,2217,1435
"00647","ZCTA5 00647",243,104,538,96
"00650","ZCTA5 00650",412,668,836,389
"00652","ZCTA5 00652",72,171,210,181
"00653","ZCTA5 00653",222,217,557,362
"00656","ZCTA5 00656",576,746,1088,698
"00659","ZCTA5 00659",1041,1415,1923,1235
"00660","ZCTA5 00660",373,529,763,496
"00662","ZCTA5 00662",1251,1651,1890,1500
"00664","ZCTA5 00664",573,708,1043,569
"00667","ZCTA5 00667",685,855,1167,753
"00669","ZCTA5 00669",889,995,1720,933
"00670","ZCTA5 00670",290,440,558,288
"00674","ZCTA5 00674",1381,1981,1960,1374
"00676","ZCTA5 00676",1285,1834,1990,1342
"00677","ZCTA5 00677",408,660,732,446
"00678","ZCTA5 00678",796,929,1553,858
"00680","ZCTA5 00680",1300,1788,2314,1452
"00682","ZCTA5 00682",1017,1407,1205,1099
"00683","ZCTA5 00683",795,1069,1830,1054
"00685","ZCTA5 00685",1277,1592,2796,1380
"00687","ZCTA5 00687",1037,1102,1876,1096
"00688","ZCTA5 00688",295,480,582,279
"00690","ZCTA5 00690",222,296,436,292
"00692","ZCTA5 00692",1045,1506,2034,1312
"00693","ZCTA5 00693",2068,2703,2788,1977
"00694","ZCTA5 00694",0,0,0,0
"00698","ZCTA5 00698",1046,1511,1796,1089
"00703","ZCTA5 00703",810,828,1729,872
"00704","ZCTA5 00704",336,392,353,285
"00705","ZCTA5 00705",789,1100,1305,845
"00707","ZCTA5 00707",146,551,667,344
"00714","ZCTA5 00714",558,740,999,613
"00715","ZCTA5 00715",37,84,213,67
"00716","ZCTA5 00716",925,1249,1704,953
"00717","ZCTA5 00717",234,600,784,601
"00718","ZCTA5 00718",843,1711,938,984
"00719","ZCTA5 00719",1088,1088,2010,1015
"00720","ZCTA5 00720",858,1131,1181,782
"00723","ZCTA5 00723",454,787,702,546
"00725","ZCTA5 00725",2555,3468,3562,2573
"00727","ZCTA5 00727",1600,2472,2939,2007
"00728","ZCTA5 00728",1722,1928,2113,1460
"00729","ZCTA5 00729",1605,2384,2732,1800
"00730","ZCTA5 00730",1075,1207,1987,906
"00731","ZCTA5 00731",236,457,558,268
"00735","ZCTA5 00735",300,491,557,365
"00736","ZCTA5 00736",1428,1516,2618,1570
"00738","ZCTA5 00738",981,1237,1711,1063
"00739","ZCTA5 00739",1258,1355,2285,1318
"00740","ZCTA5 00740",138,224,94,32
"00741","ZCTA5 00741",330,132,144,78
"00745","ZCTA5 00745",1468,1670,2791,1684
"00751","ZCTA5 00751",515,854,1300,775
"00754","ZCTA5 00754",1181,1822,1791,1320
"00757","ZCTA5 00757",735,1169,1007,810
"00765","ZCTA5 00765",297,396,473,254
"00766","ZCTA5 00766",885,1143,1254,831
"00767","ZCTA5 00767",935,1228,1714,1074
"00769","ZCTA5 00769",1124,1370,2164,1127
"00771","ZCTA5 00771",1137,1429,2186,1355
"00772","ZCTA5 00772",555,769,1083,585
"00773","ZCTA5 00773",549,794,919,631
"00775","ZCTA5 00775",34,49,80,41
"00777","ZCTA5 00777",1336,1663,2333,1483
"00778","ZCTA5 00778",1248,1690,2490,1556
"00780","ZCTA5 00780",440,537,1147,679
"00782","ZCTA5 00782",512,817,1164,779
"00783","ZCTA5 00783",1335,1449,2349,1283
"00784","ZCTA5 00784",1169,1573,2025,1378
"00786","ZCTA5 00786",0,0,0,0
"00791","ZCTA5 00791",1288,1984,2375,1626
"00794","ZCTA5 00794",1068,1749,1662,1087
"00795","ZCTA5 00795",1525,2207,2557,1620
"00901","ZCTA5 00901",203,440,295,97
"00906","ZCTA5 00906",0,0,0,0
"00907","ZCTA5 00907",289,390,346,405
"00909","ZCTA5 00909",261,403,317,166
"00911","ZCTA5 00911",154,252,290,215
"00912","ZCTA5 00912",148,134,152,149
"00913","ZCTA5 00913",728,700,552,187
"00915","ZCTA5 00915",786,1574,1315,1040
"00917","ZCTA5 00917",312,561,703,727
"00918","ZCTA5 00918",349,401,792,553
"00920","ZCTA5 00920",434,691,863,542
"00921","ZCTA5 00921",1288,1870,2217,910
"00923","ZCTA5 00923",819,1094,1546,1033
"00924","ZCTA5 00924",1962,2374,3119,2049
"00925","ZCTA5 00925",63,0,65,50
"00926","ZCTA5 00926",3416,3042,3869,3095
"00927","ZCTA5 00927",298,499,563,417
"00934","ZCTA5 00934",0,12,26,0
"00949","ZCTA5 00949",2191,2924,3992,2405
"00950","ZCTA5 00950",0,0,0,0
"00951","ZCTA5 00951",0,15,40,29
"00952","ZCTA5 00952",173,261,442,206
"00953","ZCTA5 00953",2007,3166,3721,2558
"00956","ZCTA5 00956",2512,3112,3383,2531
"00957","ZCTA5 00957",1400,1551,1893,1303
"00959","ZCTA5 00959",1460,2118,2266,1586
"00960","ZCTA5 00960",43,0,0,4
"00961","ZCTA5 00961",997,1302,1415,750
"00962","ZCTA5 00962",666,1126,882,718
"00965","ZCTA5 00965",207,242,136,148
"00966","ZCTA5 00966",787,664,1133,541
"00968","ZCTA5 00968",75,83,111,142
"00969","ZCTA5 00969",1184,1757,2082,1245
"00971","ZCTA5 00971",530,918,956,635
"00976","ZCTA5 00976",1860,2743,3132,2314
"00979","ZCTA5 00979",198,448,569,210
"00982","ZCTA5 00982",630,546,625,518
"00983","ZCTA5 00983",1249,1629,1750,916
"00985","ZCTA5 00985",1050,1063,1213,866
"00987","ZCTA5 00987",1741,2458,3348,2213
"01001","ZCTA5 01001",858,770,659,522
"01002","ZCTA5 01002",766,918,842,703
"01003","ZCTA5 01003",0,0,0,180
"01005","ZCTA5 01005",122,45,517,132
"01007","ZCTA5 01007",937,843,868,439
"01008","ZCTA5 01008",57,32,96,24
"01009","ZCTA5 01009",151,0,21,36
"01010","ZCTA5 01010",139,281,211,97
"01011","ZCTA5 01011",27,90,99,51
"01012","ZCTA5 01012",16,25,11,24
"01013","ZCTA5 01013",1281,934,2121,791
"01020","ZCTA5 01020",1080,1428,1428,1351
"01022","ZCTA5 01022",72,55,110,55
"01026","ZCTA5 01026",22,28,63,21
"01027","ZCTA5 01027",400,744,1134,608
"01028","ZCTA5 01028",764,899,1130,1031
"01029","ZCTA5 01029",10,34,24,26
"01030","ZCTA5 01030",342,504,810,481
"01031","ZCTA5 01031",40,198,101,125
"01032","ZCTA5 01032",13,21,8,10
"01033","ZCTA5 01033",173,370,204,142
"01034","ZCTA5 01034",67,102,107,69
"01035","ZCTA5 01035",159,249,291,244
"01036","ZCTA5 01036",131,140,229,116
"01037","ZCTA5 01037",5,8,25,12
"01038","ZCTA5 01038",41,130,108,97
"01039","ZCTA5 01039",34,41,123,66
"01040","ZCTA5 01040",2359,1962,2563,1230
"01050","ZCTA5 01050",151,96,179,78
"01053","ZCTA5 01053",39,44,77,48
"01054","ZCTA5 01054",57,101,72,42
"01056","ZCTA5 01056",628,1106,871,774
"01057","ZCTA5 01057",266,310,474,285
"01060","ZCTA5 01060",564,608,913,576
"01062","ZCTA5 01062",365,510,397,311
"01063","ZCTA5 01063",0,0,0,35
"01066","ZCTA5 01066",0,0,7,0
"01068","ZCTA5 01068",63,107,86,43
"01069","ZCTA5 01069",336,307,391,245
"01070","ZCTA5 01070",7,34,57,17
"01071","ZCTA5 01071",45,23,48,31
"01072","ZCTA5 01072",27,29,92,61
"01073","ZCTA5 01073",222,468,271,138
"01074","ZCTA5 01074",63,66,0,0
"01075","ZCTA5 01075",511,753,738,523
"01077","ZCTA5 01077",204,393,677,310
"01079","ZCTA5 01079",0,17,5,23
"01080","ZCTA5 01080",20,52,83,66
"01081","ZCTA5 01081",120,125,123,38
"01082","ZCTA5 01082",572,553,389,458
"01083","ZCTA5 01083",146,354,229,27
"01084","ZCTA5 01084",3,10,0,0
"01085","ZCTA5 01085",1677,2715,2038,1812
"01088","ZCTA5 01088",122,0,23,0
"01089","ZCTA5 01089",1462,1569,1606,735
"01092","ZCTA5 01092",35,0,34,0
"01093","ZCTA5 01093",0,0,0,3
"01094","ZCTA5 01094",13,0,5,0
"01095","ZCTA5 01095",603,911,994,721
"01096","ZCTA5 01096",104,123,134,110
"01097","ZCTA5 01097",0,0,9,0
"01098","ZCTA5 01098",47,27,41,17
"01103","ZCTA5 01103",117,96,88,0
"01104","ZCTA5 01104",1022,2180,1560,786
"01105","ZCTA5 01105",1045,745,1045,350
"01106","ZCTA5 01106",854,886,1337,768
"01107","ZCTA5 01107",937,1057,981,853
"01108","ZCTA5 01108",2758,2012,1509,940
"01109","ZCTA5 01109",1972,1986,2129,1355
"01118","ZCTA5 01118",833,891,785,899
"01119","ZCTA5 01119",853,843,627,618
"01128","ZCTA5 01128",251,379,156,39
"01129","ZCTA5 01129",268,312,273,175
"01144","ZCTA5 01144",0,0,0,0
"01151","ZCTA5 01151",637,698,581,427
"01201","ZCTA5 01201",2307,2088,2250,1403
"01220","ZCTA5 01220",412,351,345,157
"01222","ZCTA5 01222",18,45,85,0
"01223","ZCTA5 01223",70,81,150,76
"01224","ZCTA5 01224",0,0,0,23
"01225","ZCTA5 01225",145,208,62,137
"01226","ZCTA5 01226",291,530,294,148
"01229","ZCTA5 01229",0,0,0,0
"01230","ZCTA5 01230",376,296,359,372
"01235","ZCTA5 01235",96,99,106,67
"01236","ZCTA5 01236",119,10,133,55
"01237","ZCTA5 01237",42,138,166,83
"01238","ZCTA5 01238",94,202,346,266
"01240","ZCTA5 01240",120,204,135,247
"01242","ZCTA5 01242",0,0,0,0
"01243","ZCTA5 01243",0,1,4,3
"01244","ZCTA5 01244",9,4,4,0
"01245","ZCTA5 01245",0,1,63,61
"01247","ZCTA5 01247",468,707,820,473
"01253","ZCTA5 01253",30,11,24,23
"01254","ZCTA5 01254",8,46,20,15
"01255","ZCTA5 01255",22,29,33,12
"01256","ZCTA5 01256",23,9,61,20
"01257","ZCTA5 01257",27,86,54,31
"01258","ZCTA5 01258",11,6,4,0
"01259","ZCTA5 01259",34,79,41,48
"01260","ZCTA5 01260",0,0,0,0
"01262","ZCTA5 01262",39,4,41,34
"01264","ZCTA5 01264",14,0,0,0
"01266","ZCTA5 01266",7,13,47,25
"01267","ZCTA5 01267",270,256,346,376
"01270","ZCTA5 01270",62,38,21,30
"01301","ZCTA5 01301",882,1002,1067,455
"01330","ZCTA5 01330",21,70,54,26
"01331","ZCTA5 01331",707,748,978,447
"01337","ZCTA5 01337",106,97,133,63
"01338","ZCTA5 01338",0,0,0,0
"01339","ZCTA5 01339",40,64,36,29
"01340","ZCTA5 01340",56,38,126,17
"01341","ZCTA5 01341",52,32,122,79
"01342","ZCTA5 01342",59,76,32,32
"01343","ZCTA5 01343",2,6,25,6
"01344","ZCTA5 01344",83,106,71,36
"01346","ZCTA5 01346",1,4,21,12
"01347","ZCTA5 01347",9,0,0,0
"01349","ZCTA5 01349",30,94,29,3
"01350","ZCTA5 01350",4,5,0,5
"01351","ZCTA5 01351",150,154,102,109
"01354","ZCTA5 01354",66,41,131,50
"01355","ZCTA5 01355",33,19,29,64
"01360","ZCTA5 01360",35,97,161,179
"01364","ZCTA5 01364",304,434,554,336
"01366","ZCTA5 01366",31,87,37,14
"01367","ZCTA5 01367",25,47,33,18
"01368","ZCTA5 01368",104,128,45,62
"01370","ZCTA5 01370",157,174,170,72
"01373","ZCTA5 01373",79,174,240,294
"01375","ZCTA5 01375",68,32,137,81
"01376","ZCTA5 01376",265,207,224,200
"01378","ZCTA5 01378",39,33,36,10
"01379","ZCTA5 01379",13,38,46,22
"01380","ZCTA5 01380",0,0,0,0
"01420","ZCTA5 01420",2456,2363,2074,1417
"01430","ZCTA5 01430",161,265,630,399
"01431","ZCTA5 01431",80,118,205,98
"01432","ZCTA5 01432",401,500,392,393
"01434","ZCTA5 01434",0,49,57,90
"01436","ZCTA5 01436",421,200,391,98
"01438","ZCTA5 01438",0,13,13,12
"01440","ZCTA5 01440",1090,823,1115,876
"01450","ZCTA5 01450",484,769,1217,637
"01451","ZCTA5 01451",538,349,276,226
"01452","ZCTA5 01452",317,279,106,171
"01453","ZCTA5 01453",2327,2525,2877,1122
"01460","ZCTA5 01460",667,597,602,401
"01462","ZCTA5 01462",565,830,751,590
"01463","ZCTA5 01463",723,615,553,428
"01464","ZCTA5 01464",268,329,337,159
"01468","ZCTA5 01468",224,116,210,218
"01469","ZCTA5 01469",418,554,408,222
"01473","ZCTA5 01473",405,532,378,477
"01474","ZCTA5 01474",50,65,91,93
"01475","ZCTA5 01475",453,484,751,303
"01501","ZCTA5 01501",662,925,1238,770
"01503","ZCTA5 01503",77,131,136,70
"01504","ZCTA5 01504",599,489,571,307
"01505","ZCTA5 01505",275,308,203,137
"01506","ZCTA5 01506",102,114,183,124
"01507","ZCTA5 01507",768,798,1223,486
"01510","ZCTA5 01510",864,646,630,670
"01515","ZCTA5 01515",106,90,101,30
"01516","ZCTA5 01516",298,496,647,626
"01518","ZCTA5 01518",108,229,216,67
"01519","ZCTA5 01519",386,356,546,333
"01520","ZCTA5 01520",1138,1243,1347,714
"01521","ZCTA5 01521",108,134,104,64
"01522","ZCTA5 01522",173,155,207,102
"01523","ZCTA5 01523",319,420,404,366
"01524","ZCTA5 01524",244,302,539,232
"01525","ZCTA5 01525",0,0,0,0
"01527","ZCTA5 01527",783,906,660,589
"01529","ZCTA5 01529",85,133,198,146
"01531","ZCTA5 01531",15,34,68,46
"01532","ZCTA5 01532",667,753,1129,897
"01534","ZCTA5 01534",272,299,440,299
"01535","ZCTA5 01535",211,95,345,197
"01536","ZCTA5 01536",494,258,519,236
"01537","ZCTA5 01537",128,148,129,66
"01540","ZCTA5 01540",355,745,712,488
"01541","ZCTA5 01541",181,294,171,82
"01542","ZCTA5 01542",157,175,137,19
"01543","ZCTA5 01543",370,612,825,591
"01545","ZCTA5 01545",1880,2216,2769,1871
"01550","ZCTA5 01550",899,1063,971,843
"01560","ZCTA5 01560",365,267,334,178
"01561","ZCTA5 01561",0,0,0,0
"01562","ZCTA5 01562",560,542,802,204
"01564","ZCTA5 01564",286,274,756,316
"01566","ZCTA5 01566",295,381,543,351
"01568","ZCTA5 01568",411,195,769,475
"01569","ZCTA5 01569",755,625,769,504
"01570","ZCTA5 01570",898,1064,1040,532
"01571","ZCTA5 01571",421,895,741,446
"01581","ZCTA5 01581",1189,1525,1672,1147
"01583","ZCTA5 01583",267,387,365,221
"01585","ZCTA5 01585",107,165,199,320
"01588","ZCTA5 01588",406,696,860,353
"01590","ZCTA5 01590",474,456,475,525
"01602","ZCTA5 01602",1438,914,1614,1079
"01603","ZCTA5 01603",1339,778,1100,640
"01604","ZCTA5 01604",2092,1665,2374,1400
"01605","ZCTA5 01605",1966,2428,2480,1369
"01606","ZCTA5 01606",927,1279,1268,810
"01607","ZCTA5 01607",570,324,341,222
"01608","ZCTA5 01608",298,415,246,134
"01609","ZCTA5 01609",676,966,837,488
"01610","ZCTA5 01610",2238,1801,1387,741
"01611","ZCTA5 01611",71,192,69,35
"01612","ZCTA5 01612",262,134,374,114
"01701","ZCTA5 01701",1994,1916,1517,1073
"01702","ZCTA5 01702",2666,2750,2706,1329
"01718","ZCTA5 01718",0,82,40,37
"01719","ZCTA5 01719",79,402,356,188
"01720","ZCTA5 01720",824,1563,1750,1491
"01721","ZCTA5 01721",942,1053,1010,471
"01730","ZCTA5 01730",756,762,1033,686
"01731","ZCTA5 01731",243,368,60,65
"01740","ZCTA5 01740",392,454,429,204
"01741","ZCTA5 01741",258,508,435,183
"01742","ZCTA5 01742",780,1396,1577,1170
"01745","ZCTA5 01745",77,12,63,18
"01746","ZCTA5 01746",634,1058,990,671
"01747","ZCTA5 01747",195,174,628,471
"01748","ZCTA5 01748",1163,1722,1625,1003
"01749","ZCTA5 01749",1010,1101,1045,906
"01752","ZCTA5 01752",3063,2427,2130,976
"01754","ZCTA5 01754",423,749,618,295
"01756","ZCTA5 01756",373,225,459,451
"01757","ZCTA5 01757",1776,2022,1565,930
"01760","ZCTA5 01760",1900,2458,2124,1362
"01770","ZCTA5 01770",363,261,463,231
"01772","ZCTA5 01772",629,668,800,550
"01773","ZCTA5 01773",202,266,432,190
"01775","ZCTA5 01775",249,434,520,389
"01776","ZCTA5 01776",1336,1274,1476,1351
"01778","ZCTA5 01778",797,975,1060,647
"01801","ZCTA5 01801",2327,1931,1669,1362
"01803","ZCTA5 01803",1247,1694,1288,473
"01810","ZCTA5 01810",1857,2422,2391,2061
"01821","ZCTA5 01821",1290,1286,1421,1260
"01824","ZCTA5 01824",1530,1752,1439,891
"01826","ZCTA5 01826",1445,1942,2184,1356
"01827","ZCTA5 01827",147,143,225,204
"01830","ZCTA5 01830",1334,1466,2140,1015
"01832","ZCTA5 01832",1498,1431,1487,978
"01833","ZCTA5 01833",495,579,532,429
"01834","ZCTA5 01834",423,523,348,164
"01835","ZCTA5 01835",902,743,885,576
"01840","ZCTA5 01840",709,478,297,305
"01841","ZCTA5 01841",4508,4025,4236,2206
"01843","ZCTA5 01843",1711,2075,2180,1054
"01844","ZCTA5 01844",2348,3289,3510,2021
"01845","ZCTA5 01845",1748,1677,2165,1263
"01850","ZCTA5 01850",1232,1163,1715,675
"01851","ZCTA5 01851",2305,1862,1660,786
"01852","ZCTA5 01852",2089,1898,2697,1152
"01854","ZCTA5 01854",920,1607,1801,753
"01860","ZCTA5 01860",380,474,184,129
"01862","ZCTA5 01862",349,690,669,615
"01863","ZCTA5 01863",356,572,623,512
"01864","ZCTA5 01864",675,899,1069,791
"01867","ZCTA5 01867",1474,1651,1720,1086
"01876","ZCTA5 01876",1644,1325,1534,886
"01879","ZCTA5 01879",1000,824,760,376
"01880","ZCTA5 01880",1853,1431,1309,864
"01886","ZCTA5 01886",1057,1603,2273,1456
"01887","ZCTA5 01887",1367,1384,1584,984
"01890","ZCTA5 01890",1236,1957,1924,1363
"01901","ZCTA5 01901",106,18,37,69
"01902","ZCTA5 01902",3328,3506,3426,2655
"01904","ZCTA5 01904",1026,1222,1101,1047
"01905","ZCTA5 01905",2212,1705,1979,1086
"01906","ZCTA5 01906",1179,1262,1366,1040
"01907","ZCTA5 01907",953,765,858,374
"01908","ZCTA5 01908",170,88,60,70
"01913","ZCTA5 01913",848,764,1127,538
"01915","ZCTA5 01915",2419,1814,2688,1152
"01921","ZCTA5 01921",311,403,723,537
"01922","ZCTA5 01922",92,340,101,140
"01923","ZCTA5 01923",1231,1138,1218,1120
"01929","ZCTA5 01929",242,131,291,243
"01930","ZCTA5 01930",1630,1149,1112,737
"01937","ZCTA5 01937",0,0,0,0
"01938","ZCTA5 01938",609,602,873,546
"01940","ZCTA5 01940",879,1342,807,521
"01944","ZCTA5 01944",178,187,568,310
"01945","ZCTA5 01945",602,854,1686,1330
"01949","ZCTA5 01949",299,506,512,275
"01950","ZCTA5 01950",629,1257,1647,480
"01951","ZCTA5 01951",100,167,83,149
"01952","ZCTA5 01952",330,178,394,317
"01960","ZCTA5 01960",3092,2593,2292,1522
"01965","ZCTA5 01965",8,9,0,16
"01966","ZCTA5 01966",229,148,196,243
"01969","ZCTA5 01969",223,295,450,248
"01970","ZCTA5 01970",1691,2021,2181,1028
"01982","ZCTA5 01982",351,544,634,203
"01983","ZCTA5 01983",453,441,338,432
"01984","ZCTA5 01984",162,224,298,191
"01985","ZCTA5 01985",206,171,265,207
"02019","ZCTA5 02019",815,1395,1146,466
"02021","ZCTA5 02021",1630,1324,1584,898
"02025","ZCTA5 02025",695,674,524,341
"02026","ZCTA5 02026",1280,1247,1329,840
"02030","ZCTA5 02030",330,319,445,449
"02032","ZCTA5 02032",230,403,531,291
"02035","ZCTA5 02035",863,867,1342,795
"02038","ZCTA5 02038",1298,1516,2136,1649
"02043","ZCTA5 02043",1295,1754,1690,982
"02045","ZCTA5 02045",259,256,296,373
"02047","ZCTA5 02047",0,0,29,0
"02048","ZCTA5 02048",1274,1335,1607,1015
"02050","ZCTA5 02050",1232,1545,1300,1071
"02052","ZCTA5 02052",897,1101,960,703
"02053","ZCTA5 02053",846,795,720,694
"02054","ZCTA5 02054",511,362,445,391
"02056","ZCTA5 02056",705,831,892,453
"02061","ZCTA5 02061",940,795,757,761
"02062","ZCTA5 02062",1910,1523,1667,964
"02066","ZCTA5 02066",939,1314,1112,654
"02067","ZCTA5 02067",1100,1640,1311,935
"02071","ZCTA5 02071",46,352,32,20
"02072","ZCTA5 02072",1531,1522,1566,1185
"02081","ZCTA5 02081",1095,1088,1323,1234
"02090","ZCTA5 02090",827,1363,1271,835
"02093","ZCTA5 02093",485,667,730,580
"02108","ZCTA5 02108",53,0,221,73
"02109","ZCTA5 02109",127,91,13,4
"02110","ZCTA5 02110",52,23,51,0
"02111","ZCTA5 02111",405,245,253,89
"02113","ZCTA5 02113",53,70,0,5
"02114","ZCTA5 02114",470,216,119,192
"02115","ZCTA5 02115",506,403,438,435
"02116","ZCTA5 02116",728,338,304,336
"02118","ZCTA5 02118",969,948,1172,774
"02119","ZCTA5 02119",1263,1242,1518,947
"02120","ZCTA5 02120",260,580,340,294
"02121","ZCTA5 02121",2070,1687,2367,1554
"02122","ZCTA5 02122",1259,894,1350,905
"02124","ZCTA5 02124",3229,3306,3539,2560
"02125","ZCTA5 02125",1490,1654,1920,848
"02126","ZCTA5 02126",1789,1382,1481,1049
"02127","ZCTA5 02127",1528,808,969,371
"02128","ZCTA5 02128",2223,2049,2267,964
"02129","ZCTA5 02129",1567,1199,1202,173
"02130","ZCTA5 02130",2640,1512,1617,816
"02131","ZCTA5 02131",2190,1554,1515,1016
"02132","ZCTA5 02132",1618,1197,1654,858
"02133","ZCTA5 02133",32,13,0,0
"02134","ZCTA5 02134",240,238,208,366
"02135","ZCTA5 02135",1230,754,959,473
"02136","ZCTA5 02136",1989,2610,3169,1060
"02138","ZCTA5 02138",1487,1307,1164,834
"02139","ZCTA5 02139",1621,1301,1155,569
"02140","ZCTA5 02140",859,835,763,706
"02141","ZCTA5 02141",633,472,279,215
"02142","ZCTA5 02142",156,66,0,49
"02143","ZCTA5 02143",755,522,550,329
"02144","ZCTA5 02144",1271,687,700,196
"02145","ZCTA5 02145",1158,869,841,490
"02148","ZCTA5 02148",3833,2792,3222,1937
"02149","ZCTA5 02149",2991,2890,3037,1926
"02150","ZCTA5 02150",3076,2072,2894,1641
"02151","ZCTA5 02151",3724,3367,3008,2018
"02152","ZCTA5 02152",828,1063,776,951
"02155","ZCTA5 02155",2210,2007,2165,1378
"02163","ZCTA5 02163",96,46,0,0
"02169","ZCTA5 02169",3670,2408,2406,969
"02170","ZCTA5 02170",690,718,933,614
"02171","ZCTA5 02171",541,657,943,558
"02176","ZCTA5 02176",1502,1737,1585,1016
"02180","ZCTA5 02180",1584,1227,1311,543
"02184","ZCTA5 02184",1809,2048,2319,1698
"02186","ZCTA5 02186",1263,2249,2266,1633
"02188","ZCTA5 02188",816,451,503,530
"02189","ZCTA5 02189",702,700,560,601
"02190","ZCTA5 02190",1144,1069,931,423
"02191","ZCTA5 02191",451,397,340,71
"02199","ZCTA5 02199",34,73,0,0
"02203","ZCTA5 02203",0,0,0,0
"02205","ZCTA5 02205",0,0,0,0
"02210","ZCTA5 02210",198,29,38,0
"02215","ZCTA5 02215",181,62,160,110
"02301","ZCTA5 02301",4443,4693,5324,3429
"02302","ZCTA5 02302",2352,1972,2870,1540
"02322","ZCTA5 02322",290,204,306,230
"02324","ZCTA5 02324",1187,1441,1096,983
"02325","ZCTA5 02325",0,0,0,7
"02330","ZCTA5 02330",420,707,638,255
"02332","ZCTA5 02332",735,978,1198,739
"02333","ZCTA5 02333",674,886,708,755
"02338","ZCTA5 02338",327,479,780,214
"02339","ZCTA5 02339",800,940,1255,945
"02341","ZCTA5 02341",489,813,485,484
"02343","ZCTA5 02343",728,487,869,392
"02346","ZCTA5 02346",1143,1321,1131,1057
"02347","ZCTA5 02347",528,625,856,342
"02350","ZCTA5 02350",0,0,12,11
"02351","ZCTA5 02351",933,962,1332,623
"02356","ZCTA5 02356",537,506,943,547
"02357","ZCTA5 02357",0,0,0,0
"02359","ZCTA5 02359",1004,688,1177,761
"02360","ZCTA5 02360",2719,3154,2732,2009
"02364","ZCTA5 02364",727,920,755,642
"02366","ZCTA5 02366",0,0,0,0
"02367","ZCTA5 02367",149,200,276,37
"02368","ZCTA5 02368",1363,1604,2172,1199
"02370","ZCTA5 02370",1399,1087,913,529
"02375","ZCTA5 02375",404,684,1002,196
"02379","ZCTA5 02379",384,461,352,289
"02382","ZCTA5 02382",744,922,864,693
"02420","ZCTA5 02420",828,1128,1512,972
"02421","ZCTA5 02421",421,1118,1826,1199
"02445","ZCTA5 02445",966,1256,1427,720
"02446","ZCTA5 02446",1753,1273,1425,516
"02451","ZCTA5 02451",942,872,604,293
"02452","ZCTA5 02452",851,339,474,285
"02453","ZCTA5 02453",1477,1016,958,573
"02457","ZCTA5 02457",0,0,0,0
"02458","ZCTA5 02458",633,623,903,638
"02459","ZCTA5 02459",705,1094,1364,886
"02460","ZCTA5 02460",494,582,564,441
"02461","ZCTA5 02461",357,557,505,205
"02462","ZCTA5 02462",33,27,114,39
"02464","ZCTA5 02464",189,164,163,103
"02465","ZCTA5 02465",386,585,921,602
"02466","ZCTA5 02466",415,414,539,449
"02467","ZCTA5 02467",884,919,1404,882
"02468","ZCTA5 02468",289,565,364,477
"02472","ZCTA5 02472",1910,1277,1228,799
"02474","ZCTA5 02474",1437,1338,1927,1165
"02476","ZCTA5 02476",766,1030,1175,577
"02478","ZCTA5 02478",1337,1892,1884,1466
"02481","ZCTA5 02481",917,931,1673,1102
"02482","ZCTA5 02482",614,717,649,494
"02492","ZCTA5 02492",1092,1948,2064,1144
"02493","ZCTA5 02493",549,871,1131,452
"02494","ZCTA5 02494",404,917,884,568
"02532","ZCTA5 02532",388,510,506,377
"02534","ZCTA5 02534",46,132,47,54
"02535","ZCTA5 02535",95,129,153,67
"02536","ZCTA5 02536",852,662,867,667
"02537","ZCTA5 02537",336,423,428,143
"02538","ZCTA5 02538",223,175,312,77
"02539","ZCTA5 02539",63,222,220,86
"02540","ZCTA5 02540",171,303,252,238
"02542","ZCTA5 02542",119,40,60,7
"02543","ZCTA5 02543",0,0,0,0
"02553","ZCTA5 02553",0,0,0,0
"02554","ZCTA5 02554",683,861,803,579
"02556","ZCTA5 02556",224,216,69,58
"02557","ZCTA5 02557",72,57,92,76
"02558","ZCTA5 02558",151,129,0,0
"02559","ZCTA5 02559",0,75,78,46
"02561","ZCTA5 02561",0,0,0,21
"02562","ZCTA5 02562",94,216,178,235
"02563","ZCTA5 02563",332,287,568,433
"02564","ZCTA5 02564",0,0,0,13
"02568","ZCTA5 02568",411,370,575,484
"02571","ZCTA5 02571",289,258,397,197
"02575","ZCTA5 02575",191,7,191,29
"02576","ZCTA5 02576",55,266,270,211
"02584","ZCTA5 02584",0,0,0,0
"02601","ZCTA5 02601",906,762,703,548
"02630","ZCTA5 02630",170,110,173,65
