"GEOID","NAME","S0101_C01_002","S0101_C01_003","S0101_C01_004","S0101_C01_021"
"28117","ZCTA5 28117",2294,2407,2996,2507
"28119","ZCTA5 28119",150,146,66,206
"28120","ZCTA5 28120",1213,1281,1730,1026
"28124","ZCTA5 28124",359,209,346,321
"28125","ZCTA5 28125",31,227,189,157
"28127","ZCTA5 28127",310,282,449,193
"28128","ZCTA5 28128",288,482,541,253
"28129","ZCTA5 28129",283,219,333,204
"28133","ZCTA5 28133",58,84,51,18
"28134","ZCTA5 28134",1272,1054,560,696
"28135","ZCTA5 28135",217,215,160,162
"28136","ZCTA5 28136",4,3,0,9
"28137","ZCTA5 28137",186,150,160,131
"28138","ZCTA5 28138",605,486,578,298
"28139","ZCTA5 28139",878,1138,1031,763
"28144","ZCTA5 28144",1397,1806,1491,981
"28146","ZCTA5 28146",1985,1914,2066,1401
"28147","ZCTA5 28147",1366,1267,1467,1337
"28150","ZCTA5 28150",1641,1314,1303,1026
"28152","ZCTA5 28152",1849,1856,1945,1158
"28159","ZCTA5 28159",161,190,185,85
"28160","ZCTA5 28160",19,147,168,93
"28163","ZCTA5 28163",478,550,442,312
"28164","ZCTA5 28164",867,967,1116,586
"28166","ZCTA5 28166",862,795,724,282
"28167","ZCTA5 28167",69,146,37,184
"28168","ZCTA5 28168",347,566,558,523
"28169","ZCTA5 28169",10,5,0,0
"28170","ZCTA5 28170",554,585,918,332
"28173","ZCTA5 28173",2861,4931,6405,4593
"28174","ZCTA5 28174",516,427,392,357
"28202","ZCTA5 28202",283,416,263,55
"28203","ZCTA5 28203",760,370,575,269
"28204","ZCTA5 28204",330,353,268,120
"28205","ZCTA5 28205",3554,3417,2719,996
"28206","ZCTA5 28206",772,1227,1275,369
"28207","ZCTA5 28207",430,579,627,423
"28208","ZCTA5 28208",2396,2864,2184,1723
"28209","ZCTA5 28209",1683,1196,1018,513
"28210","ZCTA5 28210",3815,2787,2757,1575
"28211","ZCTA5 28211",2447,2378,2181,1322
"28212","ZCTA5 28212",4141,2906,3227,1511
"28213","ZCTA5 28213",2953,2815,2778,1812
"28214","ZCTA5 28214",3039,3004,2469,1514
"28215","ZCTA5 28215",5171,4712,5383,2795
"28216","ZCTA5 28216",2977,3335,3069,1821
"28217","ZCTA5 28217",1990,2400,1924,1612
"28223","ZCTA5 28223",0,0,0,1
"28226","ZCTA5 28226",2080,2827,2497,1856
"28227","ZCTA5 28227",3235,3494,4130,2912
"28244","ZCTA5 28244",0,0,0,0
"28262","ZCTA5 28262",2853,2637,2342,1297
"28269","ZCTA5 28269",4760,4732,5860,4156
"28270","ZCTA5 28270",1893,2616,1983,1771
"28273","ZCTA5 28273",4316,3071,3044,1626
"28274","ZCTA5 28274",0,0,0,5
"28277","ZCTA5 28277",4542,4819,6092,3357
"28278","ZCTA5 28278",2703,2675,2719,1358
"28280","ZCTA5 28280",0,0,0,0
"28282","ZCTA5 28282",0,0,0,0
"28301","ZCTA5 28301",782,846,774,506
"28303","ZCTA5 28303",1772,2464,1691,880
"28304","ZCTA5 28304",2926,2105,2469,1529
"28305","ZCTA5 28305",249,348,297,183
"28306","ZCTA5 28306",3177,3955,3558,2527
"28307","ZCTA5 28307",2473,1164,609,107
"28308","ZCTA5 28308",0,0,0,0
"28310","ZCTA5 28310",0,0,0,0
"28311","ZCTA5 28311",2740,2557,2594,1555
"28312","ZCTA5 28312",1120,937,1272,1173
"28314","ZCTA5 28314",4783,4452,3964,1762
"28315","ZCTA5 28315",1004,1068,773,503
"28318","ZCTA5 28318",222,63,244,203
"28320","ZCTA5 28320",379,345,666,460
"28323","ZCTA5 28323",396,425,397,136
"28325","ZCTA5 28325",31,33,4,10
"28326","ZCTA5 28326",2901,2426,2439,966
"28327","ZCTA5 28327",1111,1489,1390,901
"28328","ZCTA5 28328",1802,2020,2003,1013
"28330","ZCTA5 28330",0,0,0,56
"28331","ZCTA5 28331",0,0,0,0
"28332","ZCTA5 28332",16,35,65,19
"28333","ZCTA5 28333",844,628,1059,455
"28334","ZCTA5 28334",841,1410,1594,1016
"28337","ZCTA5 28337",534,484,411,244
"28338","ZCTA5 28338",266,121,316,92
"28339","ZCTA5 28339",444,481,225,249
"28340","ZCTA5 28340",632,414,650,461
"28341","ZCTA5 28341",59,74,488,225
"28342","ZCTA5 28342",0,5,24,11
"28343","ZCTA5 28343",179,160,135,83
"28344","ZCTA5 28344",219,464,468,229
"28345","ZCTA5 28345",814,950,785,412
"28347","ZCTA5 28347",69,23,67,147
"28348","ZCTA5 28348",3001,3107,3508,1896
"28349","ZCTA5 28349",223,375,269,65
"28350","ZCTA5 28350",0,0,0,0
"28351","ZCTA5 28351",200,478,294,217
"28352","ZCTA5 28352",1593,1547,1390,917
"28355","ZCTA5 28355",0,0,0,0
"28356","ZCTA5 28356",420,445,427,207
"28357","ZCTA5 28357",80,212,290,77
"28358","ZCTA5 28358",2702,2537,2540,1544
"28359","ZCTA5 28359",0,0,0,0
"28360","ZCTA5 28360",864,721,1065,615
"28362","ZCTA5 28362",0,0,0,9
"28363","ZCTA5 28363",71,15,14,62
"28364","ZCTA5 28364",968,772,938,578
"28365","ZCTA5 28365",728,732,824,993
"28366","ZCTA5 28366",219,305,415,264
"28367","ZCTA5 28367",0,4,20,17
"28368","ZCTA5 28368",0,0,0,0
"28369","ZCTA5 28369",49,164,67,91
"28371","ZCTA5 28371",293,613,460,249
"28372","ZCTA5 28372",620,885,780,360
"28373","ZCTA5 28373",190,162,127,57
"28374","ZCTA5 28374",698,957,985,556
"28375","ZCTA5 28375",15,6,4,2
"28376","ZCTA5 28376",3883,3532,3341,1729
"28377","ZCTA5 28377",572,837,864,579
"28378","ZCTA5 28378",0,0,0,0
"28379","ZCTA5 28379",1451,986,2293,1126
"28382","ZCTA5 28382",536,364,265,335
"28383","ZCTA5 28383",410,526,526,322
"28384","ZCTA5 28384",785,697,1241,633
"28385","ZCTA5 28385",98,174,26,69
"28386","ZCTA5 28386",483,400,298,198
"28387","ZCTA5 28387",1243,843,432,211
"28390","ZCTA5 28390",2266,1978,1652,923
"28391","ZCTA5 28391",315,319,523,173
"28392","ZCTA5 28392",50,75,5,8
"28393","ZCTA5 28393",276,72,42,47
"28394","ZCTA5 28394",220,310,325,135
"28395","ZCTA5 28395",222,198,176,93
"28396","ZCTA5 28396",104,72,55,56
"28398","ZCTA5 28398",530,271,364,399
"28399","ZCTA5 28399",62,13,93,77
"28401","ZCTA5 28401",879,1118,890,459
"28403","ZCTA5 28403",1443,952,1512,937
"28405","ZCTA5 28405",1595,2053,2352,1348
"28409","ZCTA5 28409",2065,2371,2233,1564
"28411","ZCTA5 28411",1929,1738,2155,1421
"28412","ZCTA5 28412",2103,2154,2612,1177
"28420","ZCTA5 28420",146,96,125,175
"28421","ZCTA5 28421",180,130,92,44
"28422","ZCTA5 28422",365,410,335,323
"28423","ZCTA5 28423",90,146,108,114
"28424","ZCTA5 28424",0,0,0,0
"28425","ZCTA5 28425",728,464,593,263
"28428","ZCTA5 28428",263,239,358,158
"28429","ZCTA5 28429",403,448,636,338
"28430","ZCTA5 28430",77,46,128,64
"28431","ZCTA5 28431",398,259,437,287
"28432","ZCTA5 28432",136,120,150,4
"28433","ZCTA5 28433",152,298,479,168
"28434","ZCTA5 28434",12,16,8,6
"28435","ZCTA5 28435",188,136,97,31
"28436","ZCTA5 28436",29,206,135,69
"28438","ZCTA5 28438",77,83,122,63
"28439","ZCTA5 28439",114,156,64,26
"28441","ZCTA5 28441",223,82,123,190
"28442","ZCTA5 28442",64,37,51,79
"28443","ZCTA5 28443",1452,1839,2259,1317
"28444","ZCTA5 28444",131,183,250,135
"28445","ZCTA5 28445",667,581,457,290
"28447","ZCTA5 28447",98,83,0,37
"28448","ZCTA5 28448",95,117,104,0
"28449","ZCTA5 28449",41,17,45,55
"28450","ZCTA5 28450",52,130,203,97
"28451","ZCTA5 28451",2410,1941,2440,1337
"28452","ZCTA5 28452",32,0,11,18
"28453","ZCTA5 28453",335,191,270,147
"28454","ZCTA5 28454",169,144,390,114
"28455","ZCTA5 28455",215,11,199,136
"28456","ZCTA5 28456",109,72,223,56
"28457","ZCTA5 28457",530,465,1102,571
"28458","ZCTA5 28458",313,485,373,194
"28460","ZCTA5 28460",1227,958,439,193
"28461","ZCTA5 28461",522,862,771,205
"28462","ZCTA5 28462",497,595,395,435
"28463","ZCTA5 28463",367,419,219,60
"28464","ZCTA5 28464",300,363,207,95
"28465","ZCTA5 28465",111,125,277,181
"28466","ZCTA5 28466",309,666,484,435
"28467","ZCTA5 28467",155,194,313,182
"28468","ZCTA5 28468",67,75,28,75
"28469","ZCTA5 28469",304,283,202,77
"28470","ZCTA5 28470",498,694,512,435
"28472","ZCTA5 28472",906,1267,800,884
"28478","ZCTA5 28478",217,222,274,155
"28479","ZCTA5 28479",270,559,560,268
"28480","ZCTA5 28480",80,127,85,55
"28501","ZCTA5 28501",1039,1602,1090,804
"28504","ZCTA5 28504",1024,920,1181,856
"28508","ZCTA5 28508",16,143,49,109
"28509","ZCTA5 28509",0,0,0,0
"28510","ZCTA5 28510",73,16,41,39
"28511","ZCTA5 28511",55,20,73,21
"28512","ZCTA5 28512",66,150,78,36
"28513","ZCTA5 28513",233,622,867,455
"28515","ZCTA5 28515",73,89,140,66
"28516","ZCTA5 28516",231,363,563,363
"28518","ZCTA5 28518",511,590,651,263
"28519","ZCTA5 28519",70,69,65,12
"28520","ZCTA5 28520",8,6,0,0
"28521","ZCTA5 28521",97,90,73,61
"28523","ZCTA5 28523",292,108,131,61
"28524","ZCTA5 28524",27,26,4,11
"28525","ZCTA5 28525",7,150,198,96
"28526","ZCTA5 28526",53,77,66,34
"28527","ZCTA5 28527",9,25,84,126
"28528","ZCTA5 28528",4,42,66,21
"28529","ZCTA5 28529",98,39,109,32
"28530","ZCTA5 28530",389,282,437,445
"28531","ZCTA5 28531",53,23,53,8
"28532","ZCTA5 28532",1928,1719,1115,615
"28533","ZCTA5 28533",0,0,0,0
